ⲁⲃⲓⲣⲱⲛ	ⲁⲃⲓⲣⲱⲛ	person	Abiram	2
ⲁⲃⲟⲗⲟⲥ	ⲁⲃⲟⲗⲟⲥ	person	Devil	1
ⲁⲃⲣⲁϩⲁⲙ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	24
ⲁⲃⲣⲁϩⲁⲙ ⲡ ϣⲏⲣⲉ ⲛ ⲑⲁⲣⲣⲁ ⲡ ϣⲏⲣⲉ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	1
ⲁⲃⲣⲁϩⲁⲙ ⲡ ⲙⲁⲓϣⲏⲣⲉ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	1
ⲁⲃⲣⲁϩⲁⲙ ⲡ ⲛⲟⲩⲧⲉ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	1
ⲁⲃⲣⲁϩⲁⲙ ⲡⲉ ϣⲃⲏⲣ ⲙ ⲡ ⲛⲟⲩⲧⲉ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	1
ⲁⲃⲣⲁϩⲁⲙ ⲡⲉϥ ⲉⲓⲱⲧ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	1
ⲁⲃⲣⲁϩⲁⲙ ⲡⲉⲛ ⲉⲓⲱⲧ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	1
ⲁⲅⲣⲓⲡⲡⲁⲥ	ⲁⲅⲣⲓⲡⲡⲁⲥ	person	Herod Agrippa	1
ⲁⲇⲁⲃ	ⲁⲇⲁⲃ	person	Nadab (son of Aaron)	1
ⲁⲇⲁⲙ	ⲁⲇⲁⲙ	person	Adam	20
ⲁⲇⲁⲙ ⲡ ϣⲏⲣⲉ ⲙ ⲡ ⲛⲟⲩⲧⲉ	ⲁⲇⲁⲙ	person	Adam	1
ⲁⲇⲁⲙ ⲡⲉ ⲉⲃⲟⲗ ϩⲙ ⲡ ⲕⲁϩ	ⲁⲇⲁⲙ	person	Adam	1
ⲁⲇⲱⲛⲁⲓ ⲡ ϫⲟⲉⲓⲥ	ⲁⲇⲱⲛⲁⲓ	person	God	3
ⲁⲍⲁⲣⲓⲁ	ⲁⲍⲁⲣⲓⲁ	person	Shadrach, Meshach, and Abednego	1
ⲁⲍⲱⲣⲁ	ⲁⲍⲱⲣⲁ	person		1
ⲁⲍⲱⲣⲁⲥ	ⲁⲍⲱⲣⲁⲥ	person		1
ⲁⲑⲁⲛⲁⲥⲓⲟⲥ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲩ	ⲁⲑⲁⲛⲁⲥⲓⲟⲥ	person	Athanasius of Alexandria	2
ⲁⲑⲁⲛⲁⲥⲓⲟⲥ ⲡ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲣⲁⲕⲟⲧⲉ	ⲁⲑⲁⲛⲁⲥⲓⲟⲥ	person	Athanasius of Alexandria	1
ⲁⲕⲁⲕⲓⲟⲥ ⲡ ⲁⲩⲅⲟⲩⲥⲧⲁⲗⲓⲟⲥ	ⲁⲕⲁⲕⲓⲟⲥ	person	Acacius of Constantinople	1
ⲁⲕⲩⲗⲁ	ⲁⲕⲩⲗⲁ	person	Priscilla and Aquila	1
