ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ϩⲁⲧⲛ	ϩⲁⲧⲛ	ϩⲁ|ⲧⲛ
ⲛⲣⲙ	ⲛ|ⲣⲙ	ⲛⲣⲙ
ⲉⲡⲟⲟⲩ	ⲉ|ⲡ|ⲟⲟⲩ	ⲉ|ⲡⲟⲟⲩ
ϩⲓⲥⲉ	ϩⲓⲥⲉ	ϩⲓ|ⲥⲉ
ⲛⲧⲁⲛϣⲣⲡϫⲟⲟⲥ	ⲛⲧ|ⲁ|ⲛ|ϣⲣⲡ|ϫⲟⲟ|ⲥ	ⲛⲧ|ⲁ|ⲛ|ϣⲣⲡϫⲟⲟ|ⲥ
ⲕⲁⲧⲁⲡⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ	ⲕⲁⲧⲁ|ⲡ|ⲉⲛⲧ|ⲁ|ⲡ|ϫⲟⲉⲓⲥ	ⲕⲁⲧⲁ|ⲡⲉ|ⲛⲧ|ⲁ|ⲡ|ϫⲟⲉⲓⲥ
ⲛⲟⲩⲟⲉⲓⲉ	ⲛ|ⲟⲩⲟⲉⲓⲉ	ⲛ|ⲟⲩ|ⲟⲉⲓⲉ
ⲡⲉϫⲁⲥ	ⲡⲉϫⲁ|ⲥ	ⲡⲉϫⲁⲥ
ⲁⲥϣⲱⲡⲉ	ⲁ|ⲥ|ϣⲱⲡⲉ	ⲁ|ⲥϣⲱⲡⲉ
ⲙⲡⲟⲩⲟⲉⲓⲛ	ⲙ|ⲡ|ⲟⲩⲟⲉⲓⲛ	ⲙ|ⲡⲟⲩⲟⲉⲓⲛ
ⲙⲛⲛⲉⲩⲭⲱⲣⲓⲥⲥⲩⲛⲍⲩⲅⲟⲥ	ⲙⲛ|ⲛⲉⲩ|ⲭⲱⲣⲓⲥ|ⲥⲩⲛⲍⲩⲅⲟⲥ	ⲙⲛ|ⲛⲉⲩ|ⲭⲱⲣⲓⲥⲥⲩⲛⲍⲩⲅⲟⲥ
ⲛϩⲁⲧⲣⲉⲉⲩ	ⲛ|ϩⲁ|ⲧ|ⲣⲉⲉⲩ	ⲛ|ϩⲁⲧⲣⲉ|ⲉⲩ
ⲉⲧϣⲟⲣⲡ	ⲉ|ⲧ|ϣⲟⲣⲡ	ⲉⲧ|ϣⲟⲣⲡ
ⲛϩⲙⲉⲯⲓⲧ	ⲛ|ϩⲙⲉ|ⲯⲓⲧ	ⲛ|ϩⲙⲉⲯⲓⲧ
ⲉⲙⲡⲁⲧⲕϣⲁϫⲉ	ⲉ|ⲙⲡⲁⲧ|ⲕ|ϣⲁϫⲉ	ⲉⲙⲡⲁⲧ|ⲕ|ϣⲁϫⲉ
ⲙⲛⲧϩⲩⲗⲏ	ⲙⲛ|ⲧ|ϩⲩⲗⲏ	ⲙⲛ|ⲧϩⲩⲗⲏ
ⲛⲉⲣⲓⲛⲁⲓⲟⲥ	ⲛ|ⲉⲣⲓⲛⲁⲓⲟⲥ	ⲛⲉⲣⲓⲛⲁⲓⲟⲥ
ⲉⲧⲛⲁⲥⲉⲧϥ	ⲉⲧ|ⲛⲁ|ⲥⲉⲧϥ	ⲉⲧ|ⲛⲁⲥⲉⲧ|ϥ
ⲛⲛⲓϩⲁⲛⲉⲇⲣⲁⲕⲱⲛ	ⲛ|ⲛⲓϩⲁⲛⲉ|ⲇⲣⲁⲕⲱⲛ	ⲛⲛⲓϩⲁⲛⲉ|ⲇⲣⲁⲕⲱⲛ
ⲙⲛⲡⲙⲁϩϣⲟⲙⲛⲧ	ⲙⲛ|ⲡ|ⲙⲁϩϣⲟⲙⲛⲧ	ⲙⲛ|ⲡⲙⲁϩϣⲟⲙⲛⲧ
ⲛⲁϣ	ⲛ|ⲁϣ	ⲛⲁ|ϣ
ⲡⲛⲉⲩⲙⲁ	ⲡ|ⲛⲉⲩⲙⲁ	ⲡⲛⲉⲩⲙⲁ
ⲉⲣⲉⲡϩⲟϥ	ⲉⲣⲉ|ⲡϩⲟϥ	ⲉⲣⲉ|ⲡ|ϩⲟϥ
ⲥⲟⲟⲩϩⲥ	ⲥⲟⲟⲩϩ|ⲥ	ⲥⲟⲟⲩϩⲥ
ⲉⲣⲁⲧⲟⲩ	ⲉⲣⲁⲧ|ⲟⲩ	ⲉ|ⲣⲁⲧ|ⲟⲩ
ⲉⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ⲉ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ	ⲉⲧ|ⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲛⲟⲉⲓⲕ	ⲛ|ⲟⲉⲓⲕ	ⲛⲟⲉⲓⲕ
ⲁϥϯⲡⲉϥⲟⲩⲟⲓ	ⲁ|ϥ|ϯ|ⲡⲉϥ|ⲟⲩⲟⲓ	ⲁ|ϥ|ϯ|ⲡⲉϥⲟⲩⲟⲓ
ⲛⲧⲁⲡⲛⲟⲩⲧⲉ	ⲛⲧ|ⲁ|ⲡ|ⲛⲟⲩⲧⲉ	ⲛⲧⲁ|ⲡ|ⲛⲟⲩⲧⲉ
ⲙⲡⲛⲉⲩⲙⲁ	ⲙ|ⲡⲛⲉⲩⲙⲁ	ⲙ|ⲡ|ⲛⲉⲩⲙⲁ
ⲉⲩⲙⲏϩ	ⲉ|ⲩ|ⲙⲏϩ	ⲉⲩ|ⲙⲏϩ
ⲛⲥⲱ	ⲛⲥⲱ	ⲛ|ⲥⲱ
ϩⲛⲟⲩⲱⲛϩ	ϩⲛ|ⲟⲩⲱⲛϩ	ϩⲛ|ⲟⲩ|ⲱⲛϩ
ϫⲉⲛⲁ	ϫⲉ|ⲛⲁ	ϫⲉⲛⲁ
ϯϭⲟⲙ	ϯϭⲟⲙ	ϯ|ϭⲟⲙ
ϫⲉϯⲙⲉⲉⲩⲉ	ϫⲉ|ϯ|ⲙⲉⲉⲩⲉ	ϫⲉ|ϯⲙⲉⲉⲩⲉ
ⲉⲧⲉⲛⲭⲣⲉⲓⲁ	ⲉⲧⲉⲛ|ⲭⲣⲉⲓⲁ	ⲉ|ⲧⲉⲛ|ⲭⲣⲉⲓⲁ
ⲉⲛⲉϩⲓⲟⲟⲩⲉ	ⲉ|ⲛⲉ|ϩⲓⲟⲟⲩⲉ	ⲉⲛⲉ|ϩⲓⲟⲟⲩⲉ
ϫⲉϫⲓⲧ	ϫⲉ|ϫⲓ|ⲧ	ϫⲉ|ϫⲓⲧ
ⲡⲉⲧⲉⲣⲉⲡⲇⲓⲁⲃⲟⲗⲟⲥ	ⲡ|ⲉⲧ|ⲉⲣⲉ|ⲡ|ⲇⲓⲁⲃⲟⲗⲟⲥ	ⲡ|ⲉⲧⲉⲣⲉ|ⲡ|ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲙⲁⲣⲁⲛⲁⲑⲁ	ⲙⲁⲣⲁⲛ|ⲁⲑⲁ	ⲙⲁⲣⲁⲛⲁ|ⲑⲁ
ⲛϥⲧⲙⲣϩⲏⲧ	ⲛ|ϥ|ⲧⲙ|ⲣ|ϩⲏⲧ	ⲛ|ϥ|ⲧⲙ|ⲣϩⲏⲧ
ⲡⲉⲧⲣⲉⲩⲛⲁⲩ	ⲡⲉ|ⲧⲣⲉ|ⲩ|ⲛⲁⲩ	ⲡ|ⲉ|ⲧⲣⲉ|ⲩ|ⲛⲁⲩ
ⲙⲕⲁϩ	ⲙⲕⲁϩ	ⲙ|ⲕⲁϩ
ⲙⲛⲛⲉⲣⲱⲟⲩ	ⲙⲛ|ⲛ|ⲉⲣⲱⲟⲩ	ⲙⲛ|ⲛⲉ|ⲣⲱⲟⲩ
ⲙⲛⲛⲉⲧⲙⲉ	ⲙⲛ|ⲛⲉ|ⲧⲙⲉ	ⲙⲛ|ⲛ|ⲉⲧ|ⲙⲉ
ⲛϣⲁⲛϩⲧⲏϥ	ⲛ|ϣⲁⲛϩⲧⲏϥ	ⲛ|ϣⲁ|ⲛ|ϩⲧⲏ|ϥ
ϯϫⲟⲟⲩ	ϯ|ϫⲟⲟ|ⲩ	ϯ|ϫⲟⲟⲩ
ⲙⲛⲛⲉⲥⲟⲟⲩ	ⲙⲛ|ⲛⲉ|ⲥⲟⲟⲩ	ⲙⲛ|ⲛ|ⲉⲥⲟⲟⲩ
ⲉⲡⲉⲕⲣⲟ	ⲉ|ⲡⲉ|ⲕⲣⲟ	ⲉ|ⲡⲉⲕ|ⲣⲟ
ⲉⲧⲱϭⲉ	ⲉ|ⲧⲱϭⲉ	ⲉⲧ|ⲱϭⲉ
ϥⲓⲣⲟⲟⲩϣ	ϥⲓⲣⲟⲟⲩϣ	ϥⲓ|ⲣⲟⲟⲩϣ
ϥϥⲓⲣⲟⲟⲩϣ	ϥ|ϥⲓⲣⲟⲟⲩϣ	ϥ|ϥⲓ|ⲣⲟⲟⲩϣ
ⲡⲉⲥϩⲁⲓ	ⲡⲉⲥ|ϩⲁⲓ	ⲡⲉ|ⲥϩⲁⲓ
ⲧⲱⲙⲛⲧ	ⲧⲱⲙⲛⲧ	ⲧⲱⲙⲛ|ⲧ
ϯϩⲧⲏϥ	ϯϩⲧⲏ|ϥ	ϯ|ϩⲧⲏ|ϥ
ⲉⲩⲣϩⲱⲃ	ⲉ|ⲩ|ⲣϩⲱⲃ	ⲉ|ⲩ|ⲣ|ϩⲱⲃ
ⲛⲙⲡⲏⲩⲉ	ⲛ|ⲙ|ⲡⲏⲩⲉ	ⲛ|ⲙ|ⲡ|ⲏⲩⲉ
ⲟⲩⲁϣ	ⲟⲩ|ⲁϣ	ⲟⲩⲁϣ
ⲧⲉⲥϭⲓ	ⲧⲉⲥ|ϭⲓ	ⲧⲉⲥϭⲓ
ⲁϥⲣϩⲛⲁϥ	ⲁ|ϥ|ⲣϩⲛⲁ|ϥ	ⲁ|ϥ|ⲣ|ϩⲛⲁ|ϥ
ⲛⲟⲩϩⲉ	ⲛⲟⲩϩⲉ	ⲛ|ⲟⲩ|ϩⲉ
ⲉⲧⲉⲧⲛⲁⲛⲁⲩ	ⲉ|ⲧⲉⲧⲛ|ⲁ|ⲛⲁⲩ	ⲉⲧ|ⲉⲧⲛ|ⲁ|ⲛⲁⲩ	ⲉⲧⲉ|ⲧⲛ|ⲁ|ⲛⲁⲩ
ⲥⲉⲟϣ	ⲥⲉ|ⲟϣ	ⲥ|ⲉ|ⲟϣ
ⲛⲉⲩⲛⲁϫⲟⲟⲥ	ⲛ|ⲉ|ⲩ|ⲛⲁ|ϫⲟⲟ|ⲥ	ⲛⲉ|ⲩ|ⲛⲁ|ϫⲟⲟ|ⲥ
ⲉⲛⲉⲥⲟⲟⲩ	ⲉ|ⲛ|ⲉⲥⲟⲟⲩ	ⲉ|ⲛⲉⲥⲟ|ⲟⲩ
ⲉⲧⲉⲧⲛⲛⲁⲉⲓⲙⲉ	ⲉ|ⲧⲉⲧⲛ|ⲛⲁ|ⲉⲓⲙⲉ	ⲉⲧⲉ|ⲧⲛ|ⲛⲁ|ⲉⲓⲙⲉ
ⲕⲁⲧⲁⲡⲉⲛⲧⲁⲛϣⲣⲡϫⲟⲟϥ	ⲕⲁⲧⲁ|ⲡ|ⲉⲛⲧ|ⲁ|ⲛ|ϣⲣⲡ|ϫⲟⲟ|ϥ	ⲕⲁⲧⲁ|ⲡ|ⲉⲛⲧ|ⲁ|ⲛ|ϣⲣⲡϫⲟⲟ|ϥ
ϫⲉϫⲓϣⲓ	ϫⲉ|ϫⲓ|ϣⲓ	ϫⲉ|ϫⲓϣⲓ
ⲁϥϣⲡϩⲙⲟⲧ	ⲁ|ϥ|ϣⲡϩⲙⲟⲧ	ⲁ|ϥ|ϣⲡ|ϩⲙⲟⲧ
ⲙⲡⲟⲟⲩ	ⲙ|ⲡ|ⲟⲟⲩ	ⲙ|ⲡⲟⲟⲩ
ⲛⲟⲩⲟⲉⲓⲕ	ⲛ|ⲟⲩ|ⲟⲉⲓⲕ	ⲛ|ⲟⲩⲟⲉⲓⲕ
ϫⲉⲁⲗⲱⲧⲛ	ϫⲉ|ⲁⲗⲱⲧⲛ	ϫⲉ|ⲁⲗⲱ|ⲧⲛ
ⲛⲁϫⲟⲟⲩ	ⲛⲁ|ϫⲟⲟ|ⲩ	ⲛⲁ|ϫⲟ|ⲟⲩ
ⲉⲣⲉⲣⲟⲩ	ⲉ|ⲣⲉ|ⲣ|ⲟⲩ	ⲉⲣⲉ|ⲣ|ⲟⲩ
ⲛⲧⲁⲉⲗⲓⲥⲥⲁⲓⲟⲥ	ⲛ|ⲧⲁ|ⲉⲗⲓⲥⲥⲁⲓⲟⲥ	ⲛⲧ|ⲁ|ⲉⲗⲓⲥⲥⲁⲓⲟⲥ
ⲛϭⲉ	ⲛ|ϭⲉ	ⲛϭⲉ
ⲉⲡⲉⲧϩⲓⲧⲟⲩⲱϥ	ⲉ|ⲡ|ⲉⲧ|ϩⲓⲧⲟⲩⲱ|ϥ	ⲉ|ⲡ|ⲉⲧ|ϩⲓ|ⲧⲟⲩⲱ|ϥ
ⲉⲛⲉⲛϣⲏⲣⲉ	ⲉ|ⲛⲉⲛ|ϣⲏⲣⲉ	ⲉⲛⲉ|ⲛ|ϣⲏⲣⲉ
ⲛⲧⲁⲧⲉⲧⲛϫⲟⲟⲥ	ⲛⲧⲁ|ⲧⲉⲧⲛ|ϫⲟⲟ|ⲥ	ⲛⲧ|ⲁ|ⲧⲉⲧⲛ|ϫⲟⲟ|ⲥ
ⲉⲣⲟⲩϩⲉ	ⲉ|ⲣⲟⲩϩⲉ	ⲉ|ⲣ|ⲟⲩ|ϩⲉ
ⲉⲣⲡⲉⲧϩⲟⲟⲩ	ⲉ|ⲣ|ⲡⲉⲧϩⲟⲟⲩ	ⲉ|ⲣ|ⲡ|ⲉⲧ|ϩⲟⲟⲩ
ⲛⲛⲟⲩϥ	ⲛ|ⲛⲟⲩϥ	ⲛ|ⲛⲟⲩ|ϥ
ⲛⲧⲉⲧⲛϯ	ⲛ|ⲧⲉⲧⲛ|ϯ	ⲛⲧⲉⲧⲛ|ϯ
ⲧⲛⲁⲙⲉⲗⲉⲓ	ⲧⲛ|ⲁⲙⲉⲗⲉⲓ	ⲧ|ⲛ|ⲁⲙⲉⲗⲉⲓ
ⲛⲙⲡⲉⲧϩⲟⲟⲩ	ⲛ|ⲙ|ⲡⲉⲧϩⲟⲟⲩ	ⲛⲙ|ⲡⲉⲧϩⲟⲟⲩ
ⲉⲛⲉⲩⲛϣϭⲟⲙ	ⲉ|ⲛⲉ|ⲩ|ⲛ|ϣϭⲟⲙ	ⲉⲛⲉ|ⲩⲛ|ϣϭⲟⲙ
ⲉⲧⲉⲛⲇⲁⲓⲙⲱⲛ	ⲉ|ⲧⲉⲛ|ⲇⲁⲓⲙⲱⲛ	ⲉⲧⲉ|ⲛ|ⲇⲁⲓⲙⲱⲛ
ⲙⲛⲧϩⲉ	ⲙⲛ|ⲧ|ϩⲉ	ⲙⲛⲧ|ϩⲉ
ⲉⲕⲉⲕⲉⲣⲟⲥ	ⲉ|ⲕⲉⲕⲉⲣⲟⲥ	ⲉ|ⲕⲉ|ⲕⲉⲣⲟⲥ
ϩⲛϩⲉⲛϭⲓⲛⲟⲩⲱⲙ	ϩⲛ|ϩⲉⲛ|ϭⲓⲛⲟⲩⲱⲙ	ϩⲛ|ϩⲉⲛ|ϭⲓⲛ|ⲟⲩⲱⲙ
ϩⲛⲟⲩⲙⲛⲧⲁⲧϯϩⲧⲏϥ	ϩⲛ|ⲟⲩ|ⲙⲛⲧ|ⲁⲧϯϩⲧⲏ|ϥ	ϩⲛ|ⲟⲩ|ⲙⲛⲧⲁⲧϯ|ϩⲧⲏ|ϥ
ⲛⲙⲙⲛⲧϣⲁⲛⲁϩⲧⲏϥ	ⲛ|ⲙ|ⲙⲛⲧϣⲁⲛⲁϩⲧⲏ|ϥ	ⲛ|ⲙ|ⲙⲛⲧϣⲁⲛⲁ|ϩⲧⲏ|ϥ
ⲛⲁϣⲃⲟⲏⲑⲉⲓ	ⲛⲁ|ϣ|ⲃⲟⲏⲑⲉⲓ	ⲛⲁ|ϣⲃⲟⲏⲑⲉⲓ
ⲉⲛⲁϣⲱⲡⲉ	ⲉ|ⲛ|ⲁ|ϣⲱⲡⲉ	ⲉ|ⲛⲁ|ϣⲱⲡⲉ
ⲣⲟⲩ	ⲣ|ⲟⲩ	ⲣⲟⲩ
ⲉⲛⲁ	ⲉ|ⲛⲁ	ⲉⲛⲁ
ⲛⲟⲩⲛⲏⲥⲧⲉⲓⲁ	ⲛⲟⲩ|ⲛⲏⲥⲧⲉⲓⲁ	ⲛ|ⲟⲩ|ⲛⲏⲥⲧⲉⲓⲁ
ⲧⲉⲭⲣⲉⲓⲁ	ⲧⲉ|ⲭⲣⲉⲓⲁ	ⲧⲉⲭⲣⲉⲓⲁ
ⲛⲛⲉⲛⲧⲁⲕⲁⲁⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲕ|ⲁⲁ|ⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲕⲁⲁ|ⲩ
ⲉⲡⲏⲑⲩⲙⲉⲓ	ⲉⲡⲏⲑⲩⲙⲉⲓ	ⲉ|ⲡⲏⲑⲩⲙⲉⲓ
ⲛⲧⲁⲕϯϩⲏⲩ	ⲛⲧ|ⲁ|ⲕ|ϯϩⲏⲩ	ⲛⲧ|ⲁ|ⲕ|ϯ|ϩⲏⲩ
ⲛⲧⲉⲧⲛⲣⲧϩⲉ	ⲛ|ⲧⲉⲧⲛ|ⲣ|ⲧ|ϩⲉ	ⲛ|ⲧⲉⲧⲛ|ⲣⲧϩⲉ
ⲙⲁⲣⲛϯϩⲧⲏⲛ	ⲙⲁⲣ|ⲛ|ϯϩⲧⲏ|ⲛ	ⲙⲁⲣ|ⲛ|ϯ|ϩⲧⲏ|ⲛ
ϫⲓⲧ	ϫⲓ|ⲧ	ϫⲓⲧ
ⲉⲣⲙⲛⲧⲛⲁ	ⲉⲣ|ⲙⲛⲧⲛⲁ	ⲉ|ⲣⲙⲛⲧⲛⲁ
ⲙⲡⲣⲧⲣⲉⲛⲙⲉⲉⲩⲉ	ⲙⲡⲣ|ⲧⲣⲉ|ⲛ|ⲙⲉⲉⲩⲉ	ⲙⲡⲣⲧⲣⲉ|ⲛ|ⲙⲉⲉⲩⲉ
ⲉⲓⲱ	ⲉ|ⲓ|ⲱ	ⲉⲓⲱ
ⲉⲛⲁⲣⲟⲩ	ⲉ|ⲛ|ⲁ|ⲣⲟⲩ	ⲉ|ⲛⲁ|ⲣ|ⲟⲩ
[..]	[..]	..
ⲧϩⲉ	ⲧ|ϩⲉ	ⲧϩⲉ
ⲛⲥⲁ	ⲛ|ⲥⲁ	ⲛⲥⲁ
ⲉⲓⲥϩⲏⲏⲧⲉ	ⲉⲓⲥ|ϩⲏⲏⲧⲉ	ⲉⲓⲥϩⲏⲏⲧⲉ
ⲛⲁϣϭⲙϭⲟⲙ	ⲛⲁ|ϣϭⲙϭⲟⲙ	ⲛⲁ|ϣ|ϭⲙϭⲟⲙ
ⲙⲡⲓⲙⲟⲩ	ⲙⲡ|ⲓ|ⲙⲟⲩ	ⲙ|ⲡⲓ|ⲙⲟⲩ
ⲉⲧⲉⲧⲛϭⲱϣⲧ	ⲉ|ⲧⲉⲧⲛ|ϭⲱϣⲧ	ⲉⲧⲉ|ⲧⲛ|ϭⲱϣⲧ
ⲙⲛⲛⲉⲧⲛϩⲏⲧϥ	ⲙⲛ|ⲛⲉⲧⲛ|ϩⲏⲧϥ	ⲙⲛ|ⲛ|ⲉⲧ|ⲛϩⲏⲧ|ϥ
ⲉⲛⲧⲟⲟⲩ	ⲉ|ⲛⲧⲟⲟⲩ	ⲉ|ⲛ|ⲧⲟⲟⲩ
ⲉⲓⲛⲁⲣⲟⲩ	ⲉ|ⲓ|ⲛⲁ|ⲣⲟⲩ	ⲉ|ⲓ|ⲛⲁ|ⲣ|ⲟⲩ
ⲛⲧⲁⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲛⲧ|ⲁ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ	ⲛⲧⲁ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲛⲁϣⲉ	ⲛⲁϣⲉ	ⲛⲁ|ϣⲉ
ⲛⲧⲁⲙⲓⲛⲉ	ⲛ|ⲧⲁ|ⲙⲓⲛⲉ	ⲛⲧⲁ|ⲙⲓⲛⲉ
ⲛⲟⲩⲁⲧⲟ	ⲛ|ⲟⲩ|ⲁⲧⲟ	ⲛⲟⲩ|ⲁⲧⲟ
ⲛⲛⲉⲧⲉⲛⲟⲩⲕ	ⲛ|ⲛ|ⲉⲧⲉ|ⲛⲟⲩⲕ	ⲛ|ⲛ|ⲉⲧⲉ|ⲛⲟⲩ|ⲕ
ⲛⲙⲡⲉⲣⲥⲟⲥ	ⲛ|ⲙ|ⲡⲉⲣⲥⲟⲥ	ⲛⲙ|ⲡⲉⲣⲥⲟⲥ
ⲛⲧⲁⲓⲏⲥⲟⲩⲥ	ⲛⲧⲁ|ⲓⲏⲥⲟⲩⲥ	ⲛⲧ|ⲁ|ⲓⲏⲥⲟⲩⲥ
ⲉⲧⲙⲛⲧⲥⲁⲃⲏ	ⲉ|ⲧⲙ|ⲛ|ⲧ|ⲥⲁⲃⲏ	ⲉ|ⲧ|ⲙⲛⲧⲥⲁⲃⲏ
ⲛⲧⲁⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ	ⲛⲧⲁ|ⲡ|ⲁⲡⲟⲥⲧⲟⲗⲟⲥ	ⲛⲧ|ⲁ|ⲡ|ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲛⲉϥϣⲗⲏⲗ	ⲛⲉ|ϥ|ϣⲗⲏⲗ	ⲛⲉϥ|ϣⲗⲏⲗ
ⲉⲧⲣⲉⲕϫⲓⲧ	ⲉ|ⲧⲣⲉ|ⲕ|ϫⲓⲧ	ⲉ|ⲧⲣⲉ|ⲕ|ϫⲓ|ⲧ
ⲛⲛⲁϩⲣⲛⲟⲩⲟⲛ	ⲛⲛⲁϩⲣⲛ|ⲟⲩⲟⲛ	ⲛ|ⲛⲁϩⲣⲛ|ⲟⲩⲟⲛ
ⲙⲡⲉϥⲕⲁⲧⲟⲟⲧϥ	ⲙⲡⲉ|ϥ|ⲕⲁⲧⲟⲟⲧ|ϥ	ⲙⲡⲉ|ϥ|ⲕⲁ|ⲧⲟⲟⲧ|ϥ
ⲙⲡⲉⲕⲟⲩⲱϣ	ⲙⲡⲉ|ⲕ|ⲟⲩⲱϣ	ⲙ|ⲡⲉⲕ|ⲟⲩⲱϣ
ⲙⲡⲱⲣϫ	ⲙ|ⲡ|ⲱⲣϫ	ⲙ|ⲡⲱⲣϫ
ⲛⲛⲉⲧⲉⲙⲉⲩⲛⲕⲟⲧⲕ	ⲛ|ⲛ|ⲉⲧⲉ|ⲙⲉ|ⲩ|ⲛⲕⲟⲧⲕ	ⲛ|ⲛ|ⲉⲧⲉ|ⲙⲉⲩ|ⲛⲕⲟⲧⲕ
ⲡⲡⲉⲧϩⲟⲟⲩ	ⲡ|ⲡ|ⲉⲧ|ϩⲟⲟⲩ	ⲡ|ⲡⲉⲧϩⲟⲟⲩ
ⲡⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲡ|ⲡⲉⲧⲛⲁⲛⲟⲩ|ϥ	ⲡ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ
ⲉϩⲣⲁϥ	ⲉϩⲣⲁ|ϥ	ⲉ|ϩⲣⲁ|ϥ
ⲉⲧⲣⲉⲗⲁⲁⲩ	ⲉ|ⲧⲣⲉ|ⲗⲁⲁⲩ	ⲉⲧⲣⲉ|ⲗⲁⲁⲩ
ⲛⲙⲡⲁⲣⲁⲇⲟⲥⲓⲥ	ⲛ|ⲙ|ⲡⲁⲣⲁⲇⲟⲥⲓⲥ	ⲛⲙ|ⲡⲁⲣⲁⲇⲟⲥⲓⲥ
ⲁϥϫⲟⲟⲩⲥⲟⲩ	ⲁ|ϥ|ϫⲟ|ⲟⲩ|ⲥⲟⲩ	ⲁ|ϥ|ϫⲟⲟⲩ|ⲥⲟⲩ
ϫⲉϩⲁⲧϩⲏ	ϫⲉ|ϩⲁ|ⲧ|ϩⲏ	ϫⲉ|ϩⲁ|ⲧϩⲏ
ⲉⲥⲉⲓⲣⲉ	ⲉ|ⲥ|ⲉⲓⲣⲉ	ⲉⲥⲉ|ⲓⲣⲉ
ⲉⲣⲯⲩⲭⲏ	ⲉ|ⲣ|ⲯⲩⲭⲏ	ⲉ|ⲣⲯⲩⲭⲏ
ⲙⲛⲛⲉⲧⲙⲡⲉⲩϩⲟⲧ	ⲙⲛ|ⲛ|ⲉⲧ|ⲙ|ⲡⲉⲩ|ϩⲟⲧ	ⲙⲛ|ⲛ|ⲉⲧ|ⲙⲡⲉ|ⲩ|ϩⲟⲧ
ⲉⲁⲛⲅⲟⲩⲉⲛⲛⲟⲙⲟⲥ	ⲉ|ⲁⲛⲅ|ⲟⲩ|ⲉⲛⲛⲟⲙⲟⲥ	ⲉ|ⲁⲛⲅ|ⲟⲩ|ⲉ|ⲛ|ⲛⲟⲙⲟⲥ
ⲛⲧⲁϫⲱ	ⲛ|ⲧⲁ|ϫⲱ	ⲛⲧⲁ|ϫⲱ
ⲛⲁⲅⲁⲑⲱⲥ	ⲛ|ⲁⲅⲁⲑⲱⲥ	ⲛⲁⲅⲁⲑⲱⲥ
ⲛⲧⲁⲧⲁⲙⲱⲧⲛ	ⲛ|ⲧⲁ|ⲧⲁⲙⲱ|ⲧⲛ	ⲛⲧ|ⲁ|ⲧⲁⲙⲱ|ⲧⲛ
ϩⲛⲥⲟⲩϫⲟⲩⲧⲏ	ϩⲛ|ⲥⲟⲩϫⲟⲩⲧⲏ	ϩⲛ|ⲥⲟⲩ|ϫⲟⲩⲧⲏ
ⲉⲣⲱⲟⲩ	ⲉⲣⲱ|ⲟⲩ	ⲉ|ⲣⲱ|ⲟⲩ
ⲛⲧⲁϥϫⲟⲟⲩ	ⲛⲧ|ⲁ|ϥ|ϫⲟⲟ|ⲩ	ⲛⲧ|ⲁ|ϥ|ϫⲟ|ⲟⲩ
ⲛⲧⲁϫⲓⲧⲕ	ⲛ|ⲧⲁ|ϫⲓⲧ|ⲕ	ⲛⲧⲁ|ϫⲓⲧ|ⲕ
ϩⲟⲡⲟⲩ	ϩⲟⲡ|ⲟⲩ	ϩⲟⲡⲟⲩ
ⲛⲥⲱⲕ	ⲛⲥⲱ|ⲕ	ⲛ|ⲥⲱⲕ
ⲛⲣⲱⲟⲩ	ⲛ|ⲣⲱ|ⲟⲩ	ⲛ|ⲣⲱⲟⲩ
ⲉⲧϩⲛⲙⲡⲏⲩⲉ	ⲉⲧ|ϩⲛ|ⲙ|ⲡⲏⲩⲉ	ⲉⲧ|ϩⲛ|ⲙ|ⲡ|ⲏⲩⲉ
ⲉϩⲟⲩⲉ	ⲉϩⲟⲩⲉ	ⲉ|ϩⲟⲩⲉ
ϫⲉⲉⲓⲉⲛⲁⲩ	ϫⲉ|ⲉⲓⲉ|ⲛⲁⲩ	ϫⲉ|ⲉ|ⲓ|ⲉ|ⲛⲁⲩ
ⲥⲉϫⲓⲟⲩⲁ	ⲥⲉ|ϫⲓⲟⲩⲁ	ⲥⲉϫⲓⲟⲩⲁ
ϫⲉⲛⲉϣϣⲉ	ϫⲉⲛ|ⲉϣϣⲉ	ϫⲉ|ⲛ|ⲉϣϣⲉ
