ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲙⲙⲏⲛⲉ	ⲙ|ⲙⲏⲛⲉ	ⲙⲙⲏⲛⲉ
ⲛⲧⲕⲁⲥ	ⲛ|ⲧ|ⲕⲁⲥ	ⲛ|ⲧⲕⲁⲥ
ⲁⲩⲉⲓⲥ	ⲁⲩⲉⲓ|ⲥ	ⲁ|ⲩ|ⲉⲓⲥ	ⲁⲩⲉⲓⲥ
ⲛⲧⲁϥ	ⲛⲧⲁ|ϥ	ⲛⲧ|ⲁ|ϥ
ⲡⲉⲧⲛⲁϣⲛϩⲧⲏϥ	ⲡ|ⲉⲧ|ⲛⲁ|ϣⲛ|ϩⲧⲏ|ϥ	ⲡ|ⲉⲧ|ⲛⲁ|ϣ|ⲛ|ϩⲧⲏϥ
ϫⲉⲁⲙⲏⲓⲧⲛ	ϫⲉ|ⲁⲙⲏⲓⲧⲛ	ϫⲉ|ⲁⲙⲏⲓ|ⲧⲛ
ⲙⲛⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲙ|ⲛ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲙⲛ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ
ⲛⲥⲱϣ	ⲛ|ⲥⲱϣ	ⲛ|ⲥ|ⲱϣ
ϫⲉⲛϯⲥⲟⲟⲩⲛ	ϫⲉ|ⲛ|ϯ|ⲥⲟⲟⲩⲛ	ϫⲉ|ⲛ|ϯⲥⲟⲟⲩⲛ
ⲉⲧⲏⲡ	ⲉⲧ|ⲏⲡ	ⲉⲧⲏⲡ
ⲛⲧⲉⲣⲉϥϫⲟⲟⲩ	ⲛⲧⲉⲣⲉ|ϥ|ϫⲟⲟⲩ	ⲛⲧⲉⲣⲉ|ϥ|ϫⲟⲟ|ⲩ	ⲛ|ⲧⲉ|ⲣⲉϥϫⲟⲟⲩ
ⲕⲁⲧⲁⲧⲟⲡⲟⲥ	ⲕⲁⲧⲁ|ⲧⲟⲡⲟⲥ	ⲕⲁ|ⲧⲁ|ⲧⲟⲡⲟⲥ
ⲉϥⲛⲁⲣⲇⲓⲕⲁⲓⲟⲥ	ⲉ|ϥ|ⲛⲁⲣⲇⲓⲕⲁⲓⲟⲥ	ⲉ|ϥ|ⲛⲁ|ⲣⲇⲓⲕⲁⲓⲟⲥ
ϯⲛⲁϫⲟⲟⲩ	ϯ|ⲛⲁ|ϫⲟⲟⲩ	ϯ|ⲛⲁ|ϫⲟⲟ|ⲩ
ⲙⲩⲥⲧⲏⲣⲓⲟⲛ	ⲙ|ⲩⲥⲧⲏⲣⲓⲟⲛ	ⲙⲩⲥⲧⲏⲣⲓⲟⲛ
ⲛⲧⲉ	ⲛⲧⲉ	ⲛ|ⲧ|ⲉ
ⲟⲩⲱϣϥ	ⲟⲩⲱϣ|ϥ	ⲟⲩⲱϣϥ
ⲛⲧⲙⲛⲧⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ⲛ|ⲧ|ⲙⲛⲧⲣⲉϥϣⲙϣⲉ|ⲉⲓⲇⲱⲗⲟⲛ	ⲛ|ⲧ|ⲙⲛⲧⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ
ⲁϩⲉⲣⲁⲧⲟⲩ	ⲁϩⲉ|ⲣⲁⲧ|ⲟⲩ	ⲁϩⲉⲣⲁⲧ|ⲟⲩ
ⲛⲉⲧⲛϫⲱ	ⲛⲉⲧⲛ|ϫⲱ	ⲛ|ⲉⲧ|ⲛ|ϫⲱ
ⲉⲣϩⲱⲃ	ⲉ|ⲣϩⲱⲃ	ⲉ|ⲣ|ϩⲱⲃ
ϫⲉⲙⲡⲟⲩⲥⲱⲧⲙ	ϫⲉ|ⲙ|ⲡⲟⲩ|ⲥⲱⲧⲙ	ϫⲉ|ⲙ|ⲡ|ⲟⲩ|ⲥⲱⲧⲙ
ⲛⲟⲩⲱⲛϩ	ⲛ|ⲟⲩ|ⲱⲛϩ	ⲛ|ⲟⲩⲱⲛϩ
ⲛⲧⲁϥⲣⲛⲁⲓ	ⲛⲧ|ⲁ|ϥ|ⲣⲛⲁⲓ	ⲛⲧ|ⲁ|ϥ|ⲣ|ⲛⲁⲓ
ⲙⲡⲉϥⲛⲟⲉⲓ	ⲙ|ⲡⲉϥ|ⲛⲟⲉⲓ	ⲙⲡⲉ|ϥ|ⲛⲟⲉⲓ
ⲙⲡⲣⲙⲉⲉⲩⲉ	ⲙⲡⲣ|ⲙⲉⲉⲩⲉ	ⲙ|ⲡ|ⲣⲙⲉⲉⲩⲉ
ⲛⲟⲉⲓⲛ	ⲛⲟⲉⲓⲛ	ⲛⲟⲉⲓ|ⲛ
ⲛϫⲡⲯⲓⲧⲉ	ⲛ|ϫⲡ|ⲯⲓⲧⲉ	ⲛ|ϫⲡⲯⲓⲧⲉ
ⲉⲧⲉⲛⲟⲩ	ⲉ|ⲧⲉⲛⲟⲩ	ⲉⲧⲉⲛⲟⲩ
ⲁⲙⲏⲓⲧⲛ	ⲁⲙⲏⲓⲧⲛ	ⲁⲙⲏⲓ|ⲧⲛ
.........	.........	...|...|...
ⲛⲛⲉⲣⲣⲱⲟⲩ	ⲛ|ⲛⲉ|ⲣⲣⲱⲟⲩ	ⲛ|ⲛ|ⲉⲣⲣⲱⲟⲩ
ⲙⲡⲉϥⲟⲩⲱϣ	ⲙⲡⲉ|ϥ|ⲟⲩⲱϣ	ⲙ|ⲡⲉϥ|ⲟⲩⲱϣ
ⲛⲛⲉⲩⲉⲣⲏⲩ	ⲛ|ⲛⲉⲩ|ⲉⲣⲏⲩ	ⲛ|ⲛⲉ|ⲩ|ⲉⲣⲏⲩ
ⲉⲧϩⲟⲟⲩ	ⲉⲧ|ϩⲟⲟⲩ	ⲉ|ⲧ|ϩⲟⲟⲩ
ⲙⲡⲉϥⲥⲱⲧⲙ	ⲙⲡⲉ|ϥ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉϥ|ⲥⲱⲧⲙ
ⲛⲉⲓⲙⲉⲉⲩⲉ	ⲛⲉ|ⲓ|ⲙⲉⲉⲩⲉ	ⲛⲉⲓ|ⲙⲉⲉⲩⲉ
ⲛⲥⲟⲩⲟⲩⲁ	ⲛ|ⲥⲟⲩ|ⲟⲩⲁ	ⲛ|ⲥⲟⲩⲟⲩⲁ
ⲛⲁⲥ	ⲛⲁ|ⲥ	ⲛ|ⲁⲥ
ⲛⲁϩⲉ	ⲛⲁ|ϩⲉ	ⲛ|ⲁϩⲉ
ⲙⲡⲉⲧϩⲟⲟⲩ	ⲙ|ⲡ|ⲉⲧ|ϩⲟⲟⲩ	ⲙ|ⲡⲉ|ⲧ|ϩⲟⲟⲩ
ⲡⲉⲧⲛⲁϣⲡⲟⲣϫⲛ	ⲡ|ⲉⲧ|ⲛⲁ|ϣ|ⲡⲟⲣϫⲛ	ⲡ|ⲉⲧ|ⲛⲁ|ϣⲡⲟⲣϫ|ⲛ
ⲙⲡⲣⲥⲱⲧⲙ	ⲙⲡⲣ|ⲥⲱⲧⲙ	ⲙⲡ|ⲣ|ⲥⲱⲧⲙ
ⲉⲧⲟⲟⲧⲕ	ⲉⲧⲟⲟⲧ|ⲕ	ⲉ|ⲧⲟⲟⲧ|ⲕ
ϩⲟⲟⲩ	ϩⲟⲟⲩ	ϩⲟ|ⲟⲩ
ⲉⲥⲱϣ	ⲉ|ⲥ|ⲱϣ	ⲉ|ⲥⲱϣ
ϫⲉⲛⲧⲟⲟⲩ	ϫⲉ|ⲛⲧⲟⲟⲩ	ϫⲉ|ⲛ|ⲧⲟⲟⲩ
ⲟⲩⲱⲛϩ	ⲟⲩⲱⲛϩ	ⲟⲩ|ⲱⲛϩ
ⲉⲧⲉⲛⲧⲟⲟⲩ	ⲉⲧⲉ|ⲛⲧⲟⲟⲩ	ⲉⲧⲉ|ⲛ|ⲧⲟⲟⲩ
ⲉⲛⲉⲙⲛⲗⲁⲁⲩ	ⲉⲛⲉ|ⲙⲛ|ⲗⲁⲁⲩ	ⲉ|ⲛⲉ|ⲙⲛ|ⲗⲁⲁⲩ
ⲛⲧⲉⲧⲛⲃⲱⲕ'	ⲛ|ⲧⲉⲧⲛ|ⲃⲱⲕ'	ⲛⲧⲉⲧⲛ|ⲃⲱⲕ'
ⲉⲧⲙⲟⲥⲧⲉ	ⲉ|ⲧ|ⲙⲟⲥⲧⲉ	ⲉⲧ|ⲙⲟⲥⲧⲉ
ϩⲓⲡⲁϩⲟⲩ	ϩⲓ|ⲡⲁϩⲟⲩ	ϩⲓⲡⲁϩⲟⲩ
ⲛⲧⲁⲧⲁⲙⲟⲕ	ⲛ|ⲧⲁ|ⲧⲁⲙⲟ|ⲕ	ⲛⲧ|ⲁ|ⲧⲁⲙⲟ|ⲕ	ⲛⲧⲁ|ⲧⲁⲙⲟ|ⲕ
ⲛⲧⲁϯ	ⲛⲧⲁ|ϯ	ⲛⲧ|ⲁ|ϯ	ⲛ|ⲧⲁ|ϯ
ⲛⲧⲉⲣⲉⲥϫⲉⲛⲁⲓ	ⲛⲧⲉⲣⲉ|ⲥ|ϫⲉⲛⲁ|ⲓ	ⲛⲧⲉⲣⲉ|ⲥ|ϫⲉ|ⲛⲁⲓ
ⲉⲧⲥⲟⲟⲩⲛ	ⲉⲧ|ⲥⲟⲟⲩⲛ	ⲉ|ⲧ|ⲥⲟⲟⲩⲛ
ϫⲉⲛⲧⲁⲟⲩϣⲱⲡⲉ	ϫⲉ|ⲛⲧ|ⲁ|ⲟⲩ|ϣⲱⲡⲉ	ϫⲉ|ⲛ|ⲧⲁ|ⲟⲩ|ϣⲱⲡⲉ
ⲉⲡⲁϩⲟⲩ	ⲉ|ⲡⲁϩⲟⲩ	ⲉⲡⲁϩⲟⲩ	ⲉ|ⲡⲁϩ|ⲟⲩ
ⲉⲧⲡⲉ	ⲉ|ⲧ|ⲡⲉ	ⲉ|ⲧⲡⲉ
ⲛⲛⲉⲧⲉⲙⲉϣϣⲉ	ⲛ|ⲛ|ⲉⲧⲉ|ⲙⲉ|ϣϣⲉ	ⲛ|ⲛ|ⲉⲧⲉ|ⲙⲉϣϣⲉ
ⲉⲧϩⲁⲉⲟⲟⲩ	ⲉⲧ|ϩⲁ|ⲉⲟⲟⲩ	ⲉⲧ|ϩⲁⲉⲟⲟⲩ
