ⲟⲩⲱⲙ	288
ϣⲓⲛⲉ	287
ⲙⲟⲟϣⲉ	285
ϩⲟⲩⲟ	284
ⲕⲁⲁ	283
ⲉⲓⲥ	283
ϣⲗⲏⲗ	283
ⲉⲧⲉⲣⲉ	282
ⲉⲛⲉϩ	279
ⲥⲛⲏⲩ	277
ⲥⲏϩ	273
ϫⲉⲕⲁⲥ	273
ⲟⲩⲟⲛ	271
ⲣⲣⲟ	268
ⲉϫⲙ	268
ⲟⲩⲱⲧ	268
ⲛⲁⲛⲟⲩ	266
ⲃⲓⲕⲧⲱⲣ	265
ⲙⲁⲣⲉ	264
ⲕⲟⲩⲓ	262
ϫⲱⲕ	258
ⲉⲟⲟⲩ	256
,	254
ⲕⲁ	254
ϫⲓⲧ	253
ⲛⲏⲩ	250
ⲉϣⲱⲡⲉ	248
ϩⲁϩ	246
ϣⲁⲣⲉ	246
ⲙⲏⲏϣⲉ	245
ⲉⲓⲛⲉ	244
ⲩⲛⲟⲩ	244
ⲙⲁⲣ	243
ⲉⲓⲧⲉ	239
ⲙⲛⲧⲣⲣⲟ	234
ⲉⲣϣⲁⲛ	233
—	229
ⲛⲛⲉ	228
ⲉⲙⲁⲧⲉ	225
ϭⲱ	224
ⲥⲛⲁⲩ	220
ⲡⲉϫⲉ	220
ⲉⲧⲃⲏⲏⲧ	220
ⲙⲏ	218
ⲡⲉⲥ	217
ⲉⲥⲏⲧ	216
ⲉⲣⲱ	215
ⲁⲛⲟⲛ	215
ⲙⲟⲩⲧⲉ	215
ⲓⲱϩⲁⲛⲛⲏⲥ	215
ⲥⲙⲟⲩ	214
ϩⲙⲟⲟⲥ	214
ϩⲓⲧⲙ	214
ⲙⲛⲛⲥⲁ	213
⁛—	213
ϩⲓⲥⲉ	212
ⲟⲩⲱϣⲃ	210
ϭⲱϣⲧ	208
ⲛⲉⲧⲛ	207
ⲁϩⲉ	206
ⲛⲧⲟⲕ	201
ⲙⲉⲛ	200
ⲃⲁⲗ	199
ϣⲏⲙ	196
ⲣⲱ	195
ϩⲟ	192
ⲛⲟϫ	191
ⲣⲁⲧ	191
ϩⲙϩⲁⲗ	191
ⲉⲣⲁⲧ	188
ⲛⲧⲟⲟⲧ	187
ⲡⲏⲩⲉ	186
ⲧⲁⲕⲟ	186
ⲱϣ	186
ϣⲱⲛⲉ	186
ⲉⲓⲉ	185
ⲛⲧⲟⲟⲩ	185
ϣ	183
ⲣϩⲟⲧⲉ	183
ⲙⲁⲩⲁⲁ	183
ⲡⲣⲟⲫⲏⲧⲏⲥ	183
ⲱⲛϩ	183
ϩⲱ	182
ⲥⲱⲧⲏⲣ	182
ⲣⲓⲙⲉ	179
ⲕⲟⲟⲩⲉ	178
ⲙⲡϣⲁ	175
ⲥⲁ	175
ϩⲓⲧⲟⲟⲧ	174
ⲡⲉⲧⲟⲩⲁⲁⲃ	173
ϩⲓϫⲙ	172
ⲙⲓⲛⲉ	172
ϩⲱⲥ	172
ϩⲟⲧⲉ	169
ⲉⲧⲟⲟⲧ	168
ⲣⲁϣⲉ	168
ϩⲁⲣⲉϩ	168
ⲙⲁⲑⲏⲧⲏⲥ	168
ϣⲁⲣⲟ	168
ⲙⲟⲟⲩ	166
ϩⲗⲗⲟ	164
ϩⲏ	164
ⲟⲩϫⲁⲓ	163
ϩⲁⲣⲟ	163
ⲙⲏⲧⲉ	163
ⲁⲓⲱⲛ	163
ϩⲁⲅⲓⲟⲥ	162
ⲡⲱⲧ	162
ϣⲁⲛⲧ	160
ⲕⲱϩⲧ	159
ⲙⲟⲟⲩⲧ	158
:	155
ⲣⲛⲟⲃⲉ	154
ⲟⲩⲱⲛϩ	152
ⲟⲉⲓⲕ	152
ⲇⲓⲁⲃⲟⲗⲟⲥ	150
ⲡⲟⲗⲓⲥ	148
ⲉⲩⲉ	148
ϣⲟⲙⲛⲧ	148
ⲉϥϣⲁⲛ	148
ⲕⲱⲧⲉ	148
ⲉⲓⲟⲧⲉ	147
ⲕⲧⲟ	146
ⲧⲱⲛ	145
ⲅⲣⲁⲫⲏ	145
ⲁⲣⲭⲱⲛ	145
ⲉⲩϣⲁⲛ	145
ⲧⲟⲟⲩ	144
ⲙⲁⲁⲩ	144
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ	144
