#1|orig_group	count
ⲙ̇ⲡ̇ⲛⲟⲩⲧⲉ	10
ⲛ̇ⲧⲟϥ	10
ⲉⲧϣⲟⲟⲡ	10
ⲉⲑⲟⲟⲩ	9
ⲉⲡⲕⲁϩ	9
ⲉⲣⲟⲓ̈	9
ⲉⲧⲉⲛⲁⲓ	9
ⲟⲩϩⲱⲃ	9
ⲡⲣ̄ⲣⲟ	9
ⲙⲙⲟⲓ̈	9
ⲟⲩⲛⲟϭ	9
ⲡⲥⲱⲙⲁ	9
ⲧⲉⲥϩⲓⲙⲉ	9
ⲙⲡⲉⲓⲙⲁ	9
ⲛⲙⲙⲏⲧⲛ	9
ⲛⲛⲣⲱⲙⲉ	9
ⲉⲧⲛⲁⲛⲟⲩⲟⲩ	9
ⲕⲁⲧⲁⲡⲉⲧⲥⲏϩ	9
ⲟⲩⲛϭⲟⲙ	9
ⲟⲩⲣⲱⲙⲉ	9
Ⲧⲉⲧⲛⲏⲡ	9
ⲛ̄ϭⲓⲡϫⲟⲉⲓⲥ	9
ⲛ̄ⲇⲓⲕⲁⲓⲟⲥ	9
ⲙ̄ⲡⲉⲙⲧⲟ	9
ⲉ	9
ϫⲓ	9
ⲁⲛ`	9
ⲛⲉ`	9
ϣⲁϫⲉ	9
ϫⲟⲟϥ	9
ϩⲱⲧⲧⲏⲩⲧⲛ	9
ⲁ̇ⲡⲁ	9
ϥⲥϩⲟⲩⲟⲣ︤ⲧ︥	9
ⲉⲓ̈ⲉ	9
ⲉⲃⲱⲕ	9
ⲉⲛⲁⲓ	9
ⲉⲛⲁⲩ	9
ⲉⲧⲡⲉ	9
ⲕⲟⲩⲓ	9
ⲛⲁⲓ̂	9
ⲡⲛⲟϭ	9
ⲛⲁⲧⲱⲟⲩⲛ	9
ⲛⲓⲏⲥⲟⲩⲥ	9
ϫⲉⲉϣϫⲉ	9
ⲛ̄ϣⲏⲣⲉ	9
ⲉϥⲟⲩⲱϣ	9
ϩⲛϩⲱⲃ	9
ϣⲁⲣⲟϥ	9
ϩⲁⲣⲟϥ	9
ϩⲁⲙⲏⲛ	9
ⲛⲧⲙⲛⲧⲣⲣⲟ	9
ϩⲓϫⲙⲡⲕⲁϩ	9
ⲛ̄ⲛⲟⲩⲃ	9
ϩⲓⲧⲙⲡⲛⲟⲩⲧⲉ	9
ⲁϥϩⲱⲛ	9
ⲉ̇ϥϫⲱ	9
ⲁ̇ⲗⲗⲁ	9
ⲉⲡϫⲟⲉⲓ	9
ⲛϣⲁϫⲉ	9
ⲛϣⲏⲣⲉ	9
ⲛϩⲏⲧⲛ	9
ϩⲟⲙⲟⲓⲱⲥ	8
ⲉⲣⲟⲉⲓ	8
ⲉⲥⲱⲧⲙ	8
ⲙⲉϣⲁⲕ	8
ⲕⲉⲟⲩⲁ	8
ⲉⲧⲉⲡⲁⲓ	8
ⲙⲡⲟⲩⲁ	8
ⲛⲉⲩϫⲱ	8
ⲛⲙⲙⲁⲥ	8
ⲛⲟⲉⲓⲕ	8
ⲭⲱⲣⲓⲥ	8
ⲙⲡϣⲁϫⲉ	8
ⲉⲣⲱⲧ︤ⲛ︥	8
ⲉⲧⲉⲡⲁⲓ̈	8
ⲙⲁⲩⲁⲁⲩ	8
ⲙ̄ⲡⲉⲥ̄ⳁⲟ︤ⲥ︥	8
ⲥⲟⲩⲧⲱⲛ	8
ⲧⲁⲅⲁⲡⲏ	8
ⲧⲏⲣ︤ⲥ︥	8
ⲙ︤ⲛ︥ϩⲱⲃ	8
ⲉⲧϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	8
ⲛ̄ⲛⲉⲅⲣⲁⲫⲏ	8
