ϫⲉⲙ ⲣⲏϯ
ϫⲉⲣⲟ ⲉⲃⲟⲗ
ϫⲓ ϩⲁ
ϫⲓ ϩⲁϫⲛ
ϫⲓ ϩⲣⲁ
ϫⲓ ⲉ
ϫⲓ ⲉϩⲟⲩⲛ ⲉ
ϫⲓ ⲉϫⲛ
ϫⲓ ⲉⲃⲉⲕⲉ
ϫⲓ ⲉⲃⲟⲗ ϩⲛ
ϫⲓ ⲉⲕⲓⲃⲉ
ϫⲓ ⲉⲡⲉⲟⲩϣⲁⲡ
ϫⲓ ⲙⲛ
ϫⲓ ⲙⲡϣⲓⲛⲉ
ϫⲓ ⲙⲡⲃⲉⲕⲉ
ϫⲓ ⲙⲡⲟⲩⲟⲉⲓ
ϫⲓ ⲙⲡⲟⲩⲟⲓ
ϫⲓ ⲛϫⲛⲁϩ
ϫⲓ ⲛϭⲟⲛⲥ
ϫⲓ ⲛⲉⲩⲱ
ϫⲓ ⲛⲑⲉ
ϫⲓ ⲡ ⲟⲩⲱ
ϫⲓ ⲣⲁⲛ
ϫⲓ ⲣⲁⲧ
ϫⲓ ⲣⲱ
ϫⲓ ⲧⲟⲟⲧ
ϫⲓϫⲛⲓⲧ ⲛⲥⲁ
ϫⲓⲙⲥⲉ ⲙⲙⲟ
ϫⲓⲛ ⲧⲉⲛⲟⲩ
ϫⲓⲛϫⲱⲗ ⲉⲃⲟⲗ
ϫⲓⲛϫⲱⲗⲕ ⲉⲃⲟⲗ
ϫⲓⲛϫⲱⲣ ⲉⲃⲟⲗ
ϫⲓⲛⲃⲱϣ ⲉⲃⲟⲗ
ϫⲓⲛⲑⲱⲧ ⲛϩⲏⲧ
ϫⲓⲛⲕⲱϯ ⲛⲥⲁ
ϫⲓⲛⲙⲟϣⲓ ⲉⲃⲟⲗ
ϫⲓⲛⲙⲟϩ ⲉϧⲟⲩⲛ
ϫⲓⲛⲟⲩⲱϯ ⲉⲃⲟⲗ
ϫⲓⲛⲟⲩⲱⲧϩ ⲉⲃⲟⲗ
ϫⲓⲛⲟⲩⲱⲧⲉⲃ ⲉϧⲟⲩⲛ
ϫⲓⲛⲟⲩⲱⲧⲉⲃ ⲉⲃⲟⲗ
ϫⲓⲛⲭⲱ ⲉϩⲣⲁⲓ
