life.cyrus.01	ⲡⲁ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ	person	Jesus
martyrdom.victor.01	ⲡ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ	person	Jesus
to_thieving_nuns	ⲧ ⲉⲛⲧ ⲁ ⲥ ϣⲉⲡϣⲡ ⲧⲏⲩⲧⲛ ⲧ ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲉⲧⲉ ⲧ ⲥⲩⲛⲁⲅⲱⲅⲏ ⲧⲉ	place	Jerusalem
life.cyrus.01	ⲁⲣⲕⲁⲇⲓⲟⲥ	person	Arcadius
Mark_03	ⲧⲩⲣⲟⲥ	place	Tyre, Lebanon
XH204-216	ⲡⲉⲩ ⲉⲓⲱⲧ ⲉⲧ ⲟⲩⲏϩ ⲛϩⲏⲧ ⲟⲩ ⲓⲏⲥⲟⲩⲥ ⲉⲧ ⲟⲩ ⲕⲱ ⲛ ϩⲧⲏ ⲩ ⲉⲣⲟ ϥ	person	Jesus
XH204-216	ⲡⲓ ⲁⲛⲟⲙⲟⲥ ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ	person	Nebuchadnezzar II
to_thieving_nuns	ⲡ ⲥⲁⲧⲁⲛⲁⲥ	person	Satan
life.onnophrius.01	ⲡ ⲉⲃⲟⲧ ⲡⲁⲱⲛⲉ	time	Pauni
Mark_01	ⲧ ⲓⲟⲩⲇⲁⲓⲁ	place	Judea
Mark_03	ⲧ ⲓⲟⲩⲇⲁⲓⲁ	place	Judea
dormition.john.mercad	ⲓⲏⲥⲟⲩⲥ ⲡ ⲉⲛⲧ ⲁ ϥ ϣⲱⲛⲧ ⲙ ⲡⲉ ⲕⲗⲟⲙ ⲡⲁⲓ ⲉⲧ ϩⲙ ⲡⲉⲕ ϣⲱⲛⲧ ⲡⲱⲕ	person	Jesus
AP.121.syncletica.26	ⲧ ⲙⲁⲕⲁⲣⲓⲁ ⲥⲩⲅⲕⲗⲏⲧⲓⲕⲏ	person	Syncletica of Alexandria
Ruth_03	ϩⲣⲟⲩⲑ ⲧⲉⲕ ϩⲙϩⲁⲗ	person	Ruth (biblical figure)
AP.031.philagrios.01	ⲧ ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	place	Jerusalem
mercy_judgment	ⲏⲥⲁⲓⲁⲥ	person	Isaiah
Ruth_04	ϩⲣⲟⲩⲑ ⲧ ⲙⲱⲁⲃⲓⲧⲏⲥ ⲧ ϩⲓⲙⲉ ⲙ ⲙⲁⲁⲗⲱⲛ	person	Ruth (biblical figure)
Mark_08	ⲇⲁⲗⲙⲁⲛⲟⲩⲑⲁ	place	Dalmanutha
exhortations	ⲡ ⲓⲥⲣⲁⲏⲗ	organization	Israelites
Mark_05	ⲓⲏⲥⲟⲩⲥ ⲡ ϣⲏⲣⲉ ⲙ ⲡ ⲛⲟⲩⲧⲉ ⲉⲧ ϫⲟⲥⲉ	person	Jesus
dormition.john.mercad	ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲛ ϫⲟⲉⲓⲥ	person	Jesus
Mark_01	ⲓⲱϩⲁⲛⲛⲏⲥ ⲡⲉϥ ⲥⲟⲛ	person	John the Apostle
GF31-32	ⲓⲟⲩⲇⲁⲓ	person	Jews
mercy_judgment	ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲡⲉⲛ ϫⲟⲉⲓⲥ ⲡⲁⲓ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧ ϥ ⲡ ⲉⲟⲟⲩ ⲙ ⲡ ⲉⲓⲱⲧ ⲛⲙⲙⲁ ϥ ⲙⲛ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲉⲧ ⲟⲩⲁⲁⲃ · ϣⲁ ⲛ ⲁⲓⲱⲛ ⲧⲏⲣ ⲟⲩ ⲛ ⲁⲓⲱⲛ	person	Jesus
Mark_08	ⲧ ⲕⲉⲥⲁⲣⲓⲁ ⲛⲧⲉ ⲫⲓⲗⲓⲡⲡⲟⲥ	place	Caesarea Philippi
psephrem.letter	ⲁⲡⲁ ⲉⲫⲣⲁⲓⲙ	person	Ephrem the Syrian
mercy_judgment	ⲁⲑⲁⲛⲁⲥⲓⲟⲥ ⲡ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲣⲁⲕⲟⲧⲉ	person	Athanasius of Alexandria
