ⲏⲓ	43
ⲙⲟⲩϯ	43
ⲛⲥⲱ	43
ⲉⲩⲉ	42
ⲑⲣⲉ	42
ⲥⲁ	41
ⲡⲉⲛ	41
ⲕⲱϯ	41
ⲙⲁⲑⲏⲧⲏⲥ	41
ⲡⲉⲕ	40
ⲟϩⲓ	40
ⲥⲁⲧⲟⲧ	40
ⲧⲱⲛ	40
ⲛⲧⲟⲧ	39
ⲁⲓ	39
ⲓⲥϫⲉ	39
ⲉⲕⲕⲗⲏⲥⲓⲁ	38
ⲭⲏ	37
ⲃ	36
ⲉϥⲉ	35
ϫⲓϫ	35
ⲭⲱ	35
ⲣⲁⲛ	35
ϩⲁ	35
ⲙⲉⲩⲓ	34
ⲧⲉ	34
ⲥⲛⲏⲟⲩ	34
ⲉⲣⲁⲧ	33
ⲁⲙⲟⲛⲓ	33
ⲙⲡ	33
ⲱⲓⲕ	33
ⲉⲙⲁϣⲱ	32
ⲧⲏⲓ	32
ⲛⲥⲁ	32
ⲥϧⲏⲟⲩⲧ	32
ⲛⲏⲟⲩ	31
ϫⲟⲙ	31
ϩⲁⲣⲟ	31
ⲛⲓⲙ	31
ⲱⲟⲩ	31
ⲛⲁⲣⲉ	31
ⲓⲣⲓ	31
ⲙⲏ	30
ⲙⲱⲓⲧ	30
ⲛⲑⲱⲧⲉⲛ	30
ϫⲉⲙ	30
ϩⲱⲥ	30
ϣⲉⲛ	30
ⲥⲟⲡ	30
ⲕⲟⲥⲙⲟⲥ	30
ϧⲉⲗⲗⲟ	30
ⲙⲡⲣ	30
ϩⲉⲙⲥⲓ	30
ⲡⲟⲩ	29
ϣϫⲟⲙ	29
ⲉⲣϩⲟϯ	28
ⲥⲏⲟⲩ	28
ⲥⲟⲛ	28
ⲙⲉⲛ	28
ⲧⲟⲧⲉ	27
ⲟⲩⲛ	27
ⲓⲟϯ	27
ⲣⲱ	27
ⲉⲛⲉϩ	26
ϩⲙⲟⲧ	26
ⲓⲥϫⲉⲛ	26
ⲱϣ	26
ⲟⲩⲱⲣⲡ	26
ⲗⲁⲥ	26
ϫⲟⲩϣⲧ	25
ⲁⲃⲃⲁ	25
ⲕⲟⲩϫⲓ	25
ⲁⲛⲟⲛ	25
ⲛⲉⲕ	24
ⲭ	24
ⲕⲁϩⲓ	24
ⲁⲣⲉ	24
ϩⲁⲅⲓⲟⲥ	24
ϩⲓⲧⲟⲧ	24
ϭⲓⲧ	24
ⲃⲁⲗ	24
ϣⲟⲣⲡ	24
ⲥⲁⲃⲟⲗ	24
ⲓⲱⲁⲛⲛⲏⲥ	24
ⲉⲃⲏⲗ	24
ϣⲱⲛⲓ	24
ϯϩⲟ	23
ⲛⲉⲙⲱ	23
ⲛⲑⲟⲕ	23
ⲉⲣϣⲫⲏⲣⲓ	23
ⲧⲁⲙⲟ	23
ⲉϧⲣⲏⲓ	23
ⲓⲛⲓ	23
ⲟⲩⲟⲛϩ	23
ⲙⲡⲁ	23
ϣ	23
ϩⲟⲩⲟ	23
ⲁϣ	23
ⲡⲣⲟⲫⲏⲧⲏⲥ	22
ⲉϩⲣⲏⲓ	22
ⲣⲁϣⲓ	22
ϣⲓⲛⲓ	22
ϩⲱⲥⲧⲉ	22
ⲥⲁⲣⲝ	22
ϧⲁⲧⲉⲛ	22
