ϣⲁⲧⲉⲧⲉⲛⲓ	ϣⲁⲧⲉⲧⲛⲓ
ϣⲁⲧⲟⲩⲛⲁⲩ	ϣⲁⲧⲟⲩⲛⲁⲩ
ϣⲁⲧⲫⲁϣⲓ	ϣⲁⲧⲫⲁϣⲓ
ϣⲁⲩϣⲉ	ϣⲁⲩϣⲉ
ϣⲁⲩϣⲟⲡϥ	ϣⲁⲩϣⲟⲡϥ
ϣⲁⲩϩⲓⲏⲣⲡ	ϣⲁⲩϩⲓⲏⲣⲡ
ϣⲁⲩϩⲓⲧⲟⲩ	ϣⲁⲩϩⲓⲧⲟⲩ
ϣⲁⲩϭⲉⲣⲉⲟⲩϧⲏⲃⲥ	ϣⲁⲩϭⲉⲣⲉⲟⲩϧⲏⲃⲥ
ϣⲁⲩϭⲓⲧϥ	ϣⲁⲩϭⲓⲧϥ
ϣⲁⲩϯⲟⲩⲧⲁϩ	ϣⲁⲩϯⲟⲩⲧⲁϩ
ϣⲁⲩⲉⲣⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉⲥⲑⲉ	ϣⲁⲩⲉⲣⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉⲥⲑⲉ
ϣⲁⲩⲓ	ϣⲁⲩⲓ
ϣⲁⲩⲙⲟⲗϩϥ	ϣⲁⲩⲙⲟⲗϩϥ
ϣⲁⲩⲟⲗϥ	ϣⲁⲩⲟⲗϥ
ϣⲁⲩⲟⲩϫⲁⲓ	ϣⲁⲩⲟⲩϫⲁⲓ
ϣⲃⲱⲧ	ϣⲃⲱⲧ
ϣⲉ	ϣⲉ
ϣⲉⲃⲓⲱ	ϣⲉⲃⲓⲱ
ϣⲉⲗⲧⲁⲙ	ϣⲉⲗⲧⲁⲙ
ϣⲉⲙϣⲏⲧ	ϣⲉⲙϣⲏⲧ
ϣⲉⲙϣⲓ	ϣⲉⲙϣⲓ
ϣⲉⲙⲏⲣ	ϣⲉⲙⲏⲣ
ϣⲉⲛ	ϣⲉⲛ
ϣⲉⲛϥ	ϣⲉⲛϥ
ϣⲉⲛϩⲏⲧ	ϣⲉⲛϩⲏⲧ
ϣⲉⲡ	ϣⲉⲡ
ϣⲉⲡϩⲙⲟⲧ	ϣⲉⲡϩⲙⲟⲧ
ϣⲉⲣⲓ	ϣⲉⲣⲓ
ϣⲏϣ	ϣⲏϣ
ϣⲏⲕ	ϣⲏⲕ
ϣⲏⲗ	ϣⲏⲗ
ϣⲏⲣⲓ	ϣⲏⲣⲓ
ϣⲑⲉⲣⲑⲱⲣ	ϣⲑⲉⲣⲑⲱⲣ
ϣⲑⲏⲛ	ϣⲑⲏⲛ
