ϣⲓⲏ	ϣⲓⲏ
ϣⲓⲏⲧ	ϣⲓⲏⲧ
ϣⲓⲛⲓ	ϣⲓⲛⲓ
ϣⲓⲡⲓ	ϣⲓⲡⲓ
ϣⲗⲏⲗⲟⲩⲓ	ϣⲗⲏⲗⲟⲩⲓ
ϣⲗⲱⲗ	ϣⲗⲱⲗ
ϣⲛⲉ	ϣⲛⲉ
ϣⲛⲉϩⲓⲟⲩⲓ	ϣⲛⲉ|ϩⲓⲟⲩⲓ
ϣⲛⲏⲟⲩ	ϣⲛⲏⲟⲩ
ϣⲟ	ϣⲟ
ϣⲟϣ	ϣⲟϣ
ϣⲟϣϥ	ϣⲟϣϥ
ϣⲟϣⲟⲩ	ϣⲟϣⲟⲩ
ϣⲟⲃⲓ	ϣⲟⲃⲓ
ϣⲟⲃⲧ	ϣⲟⲃⲧ
ϣⲟⲗ	ϣⲟⲗ
ϣⲟⲗϩ	ϣⲟⲗϩ
ϣⲟⲡ	ϣⲟⲡ
ϣⲟⲡⲧ	ϣⲟⲡⲧ
ϣⲟⲣⲡ	ϣⲟⲣⲡ
ϣⲟⲩϣⲟⲩ	ϣⲟⲩϣⲟⲩ
ϣⲟⲩϣⲱⲟⲩϣⲓ	ϣⲟⲩϣⲱⲟⲩϣⲓ
ϣⲟⲩⲓⲧ	ϣⲟⲩⲓⲧ
ϣⲟⲩⲱ	ϣⲟⲩⲱ
ϣⲟⲩⲱⲟⲩ	ϣⲟⲩⲱⲟⲩ
ϣⲥⲉⲃⲧⲱⲧ	ϣ|ⲥⲉⲃⲧⲱⲧ
ϣⲧⲁϯ	ϣⲧⲁϯ
ϣⲧⲉⲕⲟ	ϣⲧⲉⲕⲟ
ϣⲧⲉⲙ	ϣⲧⲉⲙ
ϣⲧⲉⲣⲑⲱⲣ	ϣⲧⲉⲣⲑⲱⲣ
ϣⲫⲏⲣ	ϣⲫⲏⲣ
ϣⲫⲏⲣⲓ	ϣⲫⲏⲣⲓ
ϣⲫⲓⲧ	ϣⲫⲓⲧ
ϣⲱϣ	ϣⲱϣ
ϣⲱϥ	ϣⲱϥ
ϣⲱϥⲧ	ϣⲱϥⲧ
ϣⲱⲓ	ϣⲱⲓ
ϣⲱⲓϣ	ϣⲱⲓϣ
ϣⲱⲕ	ϣⲱⲕ
ϣⲱⲕⲓ	ϣⲱⲕⲓ
ϣⲱⲗⲉⲙ	ϣⲱⲗⲉⲙ
ϣⲱⲙ	ϣⲱⲙ
ϣⲱⲙⲓ	ϣⲱⲙⲓ
ϣⲱⲛⲓ	ϣⲱⲛⲓ
ϣⲱⲛⲧ	ϣⲱⲛⲧ
